time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001738,-0.1409,0.1801,-0.0149,0.229
0.018173,-0.1638,0.1124,0.0230,0.200
0.018770,-0.0507,0.0855,0.0744,0.124
0.026607,-0.0879,0.1268,0.0975,0.182
0.044288,-0.1119,0.1273,0.0241,0.171
0.046186,-0.1227,0.1279,-0.0629,0.188
0.056584,-0.0915,0.1692,-0.0816,0.209
0.074523,-0.0742,0.1561,-0.0313,0.176
0.075917,0.1339,0.1564,0.0201,0.207
0.086748,0.1785,0.1840,0.0996,0.275
0.096482,0.1953,0.2387,0.1249,0.333
0.105725,0.1436,0.1844,0.0281,0.235
0.121761,0.0642,0.2118,-0.0000,0.221
0.125977,-0.1115,0.2391,-0.0547,0.269
0.146656,-0.0703,0.2391,0.0000,0.249
0.147140,-0.0439,0.1573,0.0551,0.172
0.156921,0.0492,0.1163,0.0420,0.133
0.166392,0.0320,0.1026,0.1103,0.154
0.178666,-0.0266,0.1161,0.1377,0.182
0.195216,-0.1120,0.1705,0.1780,0.271
0.197388,-0.1009,0.1705,0.1081,0.226
0.212231,0.0201,0.1298,0.0235,0.133
0.227642,-0.0762,0.0483,-0.0067,0.091
0.228170,0.1410,0.1711,0.0447,0.226
0.247184,0.0594,0.3212,0.0821,0.337
0.247713,-0.1575,0.3215,0.0646,0.364
0.261170,-0.2096,0.2674,0.0332,0.341
0.277750,-0.2331,0.1861,-0.0251,0.299
0.295713,-0.2467,0.1461,-0.0720,0.296
0.298029,-0.2376,0.1193,-0.0743,0.276
0.312646,-0.1873,0.1061,-0.1170,0.245
0.316795,-0.1237,0.1609,-0.1581,0.257
0.326953,-0.0466,0.1882,-0.1288,0.233
0.346802,0.0298,0.2290,-0.0568,0.238
0.347329,0.0108,0.2152,-0.0109,0.216
0.360873,-0.0217,0.1741,-0.0053,0.176
0.378269,-0.1224,0.1875,-0.0401,0.227
0.378785,-0.2094,0.2008,-0.0474,0.294
0.395070,-0.1877,0.1869,-0.0413,0.268
0.396524,-0.0712,0.1730,-0.0491,0.193
0.410306,-0.0510,0.1591,-0.0573,0.177
0.416650,-0.0182,0.1316,-0.0522,0.143
0.427326,-0.0406,0.1450,-0.0069,0.151
0.444612,-0.0908,0.1584,0.0786,0.199
0.446318,-0.1958,0.1854,0.1229,0.296
0.458050,-0.1783,0.2261,0.0574,0.294
0.472690,-0.0928,0.2124,-0.0359,0.235
0.476328,0.0331,0.1851,-0.0888,0.208
0.492669,0.0775,0.1578,-0.0601,0.186
0.496874,0.0538,0.0761,-0.0179,0.095
0.507988,-0.0248,0.0488,0.0920,0.107
0.516245,-0.1983,0.0488,0.0923,0.224
0.526010,-0.3838,0.1170,0.1329,0.423
0.547343,-0.4981,0.1445,0.0775,0.524
0.547720,-0.6359,0.2265,0.0490,0.677
0.562996,-0.6473,0.3357,-0.0477,0.731
0.578126,-0.4928,0.3632,-0.1303,0.626
0.578603,-0.3235,0.3635,-0.1034,0.497
0.595713,-0.1943,0.2683,-0.0627,0.337
