time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001808,0.0493,-0.1147,0.0801,0.148
0.008428,-0.0028,-0.0625,0.0398,0.074
0.029607,-0.0261,-0.0389,0.1361,0.144
0.036784,-0.0242,0.0144,0.1093,0.113
0.047654,-0.0370,0.0276,0.0687,0.083
0.057236,-0.0365,0.0280,0.0279,0.054
0.066382,-0.0225,0.0144,0.0143,0.030
0.076460,-0.0222,-0.0126,0.0416,0.049
0.086510,-0.0219,-0.0524,0.0416,0.070
0.096348,-0.0626,-0.0368,0.0551,0.091
0.106450,-0.0760,-0.0209,0.0686,0.105
0.116468,-0.0757,0.0082,0.0686,0.102
0.126751,-0.0612,0.0232,0.0822,0.105
0.136069,-0.0325,0.0107,0.0825,0.089
0.146390,-0.0170,0.0253,0.0827,0.088
0.161664,0.0121,0.0261,0.0830,0.088
0.166263,0.0137,0.0130,0.0697,0.072
0.176201,-0.0121,0.0132,0.0836,0.085
0.186150,-0.0245,0.0132,0.0702,0.075
0.196277,-0.0369,0.0267,0.0568,0.073
0.207854,-0.0493,0.0126,0.0707,0.087
0.216069,-0.0618,-0.0017,0.0573,0.084
0.226296,-0.0063,-0.0025,0.0848,0.085
0.236146,-0.0055,0.0103,0.0850,0.086
0.246340,-0.0320,0.0096,0.0579,0.067
0.256556,-0.0042,-0.0046,0.0989,0.099
0.266691,-0.0174,0.0086,0.0990,0.101
0.276381,-0.0171,-0.0054,0.0991,0.101
0.286491,-0.0167,0.0079,0.0447,0.048
0.296265,-0.0299,0.0076,0.0176,0.036
0.307735,-0.0158,-0.0061,0.0177,0.024
0.316076,-0.0153,-0.0196,0.0178,0.031
0.326303,-0.0421,-0.0463,0.1677,0.179
0.336182,-0.0280,-0.0319,0.1268,0.134
0.346260,-0.0684,-0.0038,-0.0093,0.069
0.356444,-0.0405,0.0243,-0.0093,0.048
0.366062,0.0147,0.0385,0.0998,0.108
0.376727,0.0290,-0.0018,0.1544,0.157
0.386136,0.0431,-0.0013,0.1408,0.147
0.396448,0.0163,-0.0008,0.1000,0.101
0.408386,0.0030,0.0132,0.0728,0.074
0.416075,-0.0105,-0.0000,0.0591,0.060
0.426152,-0.0378,-0.0269,-0.0090,0.047
0.436162,-0.0380,-0.0266,0.0318,0.056
0.446196,-0.0788,-0.0398,0.0863,0.123
0.456586,-0.1330,-0.0394,0.0999,0.171
0.466188,-0.0918,-0.0252,0.0863,0.129
0.476383,-0.0371,0.0300,0.1136,0.123
0.486344,0.0177,0.0443,0.1000,0.111
0.496416,0.0591,0.0721,0.1000,0.137
0.507006,0.0596,0.0861,0.0865,0.136
0.516085,0.0464,0.0728,0.0457,0.098
0.526411,0.0195,0.0319,0.0594,0.070
0.536405,-0.0075,0.0179,0.0186,0.027
0.546290,-0.0481,0.0170,0.0459,0.069
0.556399,-0.0478,0.0020,0.0733,0.088
0.566354,-0.0340,0.0003,0.0462,0.057
0.576276,-0.0338,0.0255,0.0464,0.063
0.586298,-0.0066,0.0096,0.0465,0.048
0.596681,-0.0070,-0.0062,0.0875,0.088
0.606852,-0.0212,-0.0079,0.1147,0.117
0.615958,-0.0488,-0.0094,0.1147,0.125
0.626145,-0.0353,0.0030,0.0875,0.094
0.635913,-0.0624,0.0021,0.0468,0.078
0.645911,-0.0349,-0.0255,0.0060,0.044
0.656103,-0.0345,-0.0254,0.0333,0.054
0.666309,-0.0337,-0.0382,0.0198,0.055
0.676520,-0.0325,-0.0371,0.0608,0.078
0.686230,-0.0852,-0.0221,0.0610,0.107
0.696305,-0.0830,0.0065,0.0886,0.122
0.709186,-0.0668,0.0079,0.0753,0.101
0.716349,-0.0504,0.0227,0.0622,0.083
0.726579,-0.0069,0.0373,0.0762,0.085
0.736495,0.0362,0.0518,0.0766,0.099
0.746705,0.0107,0.0252,0.0632,0.069
0.756814,-0.0014,0.0256,0.0907,0.094
0.766808,-0.0002,0.0393,0.0909,0.099
0.777181,0.0008,0.0252,0.0775,0.082
0.792236,-0.0255,-0.0030,0.0641,0.069
0.798162,-0.0248,-0.0041,0.0780,0.082
0.808037,-0.0243,-0.0053,0.0781,0.082
0.817477,-0.0242,0.0071,0.0646,0.069
0.827672,-0.0108,-0.0076,0.0783,0.079
0.846251,0.0015,0.0179,0.0509,0.054
0.856415,0.0416,0.0172,0.0780,0.090
0.866321,0.0136,-0.0107,0.0915,0.093
0.876367,-0.0008,0.0025,0.0642,0.064
0.886259,-0.0286,-0.0111,0.1050,0.109
0.896406,-0.0290,-0.0109,0.0504,0.059
0.906775,-0.0290,0.0028,0.0912,0.096
0.916111,-0.0293,-0.0104,0.0639,0.071
