time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001782,0.0505,0.1619,0.0118,0.170
0.002562,-0.0017,0.1210,0.0668,0.138
0.013702,0.0247,0.1072,0.1490,0.185
0.029382,0.1158,0.1342,0.2035,0.270
0.044033,0.1506,0.1340,0.2306,0.306
0.044868,0.0743,0.1065,0.1755,0.218
0.053511,0.0370,0.0927,-0.0299,0.104
0.062670,-0.0413,0.0925,-0.1399,0.173
0.072454,-0.0909,0.1604,-0.0725,0.198
0.085174,-0.1110,0.2284,0.0494,0.259
0.092220,-0.0885,0.2420,0.1303,0.289
0.104957,-0.0655,0.1740,0.1156,0.219
0.112325,-0.0682,0.1062,0.1414,0.190
0.122082,-0.0418,0.0522,0.1805,0.192
0.137269,-0.0272,0.0393,0.1918,0.198
0.143863,-0.0518,0.0811,0.1483,0.177
0.153873,-0.0208,0.1229,0.0912,0.154
0.164334,0.0375,0.1510,-0.0472,0.163
0.173577,0.0410,0.1790,-0.1171,0.218
0.184032,0.0574,0.2069,-0.1188,0.245
0.196920,0.1411,0.2210,-0.0521,0.267
0.205972,0.1834,0.2078,0.0013,0.277
0.213511,0.1704,0.1945,0.0957,0.276
0.230974,0.1417,0.1674,0.1767,0.282
0.233566,0.0965,0.1402,0.2030,0.265
0.242308,0.0358,0.1401,0.2021,0.248
0.252677,-0.0119,0.1400,0.1741,0.224
0.262844,0.0085,0.1670,0.0918,0.191
0.273779,0.0830,0.1395,0.0097,0.163
0.286443,0.1436,0.1392,-0.0177,0.201
0.292412,0.1764,0.1252,-0.0453,0.221
0.306272,0.1543,0.1385,-0.0186,0.208
0.313641,0.0510,0.2064,0.0077,0.213
0.323652,-0.0375,0.2472,0.0201,0.251
0.333380,-0.0024,0.2064,-0.0085,0.207
0.343251,-0.0209,0.2064,-0.0501,0.213
0.353979,-0.0253,0.1653,-0.0912,0.190
0.362722,-0.0291,0.1242,-0.1728,0.215
0.379999,-0.0731,0.1238,-0.1585,0.214
0.383996,-0.1434,0.1364,-0.0876,0.216
