time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001101,0.1095,0.0344,0.1792,0.213
0.005580,0.0693,0.0752,0.3627,0.377
0.014582,0.0288,0.1569,0.4216,0.451
0.024585,0.0562,0.2113,0.3566,0.418
0.041546,0.0695,0.2385,0.1685,0.300
0.046207,0.0957,0.1977,-0.0351,0.222
0.053688,0.0531,0.1842,-0.0100,0.192
0.063620,0.0234,0.1571,-0.0700,0.174
0.073868,-0.0068,0.1300,-0.1053,0.167
0.083546,-0.0100,0.1438,-0.1414,0.202
0.093566,0.0140,0.1849,-0.1496,0.238
0.104386,0.0248,0.2123,-0.1424,0.257
0.113765,0.0359,0.2260,-0.1200,0.258
0.123922,0.0202,0.1989,-0.1102,0.228
0.133161,-0.0088,0.1581,0.0099,0.159
0.143192,-0.0103,0.1581,0.0652,0.171
0.153830,-0.0389,0.1581,0.1102,0.197
0.163600,-0.0263,0.1445,0.1017,0.179
0.175020,0.0004,0.1309,0.1062,0.169
0.184232,-0.0132,0.1581,0.0822,0.179
0.193892,0.0144,0.1581,0.0572,0.169
0.207834,0.0013,0.1989,-0.0091,0.199
0.214176,-0.0253,0.1988,-0.0623,0.210
0.223478,-0.0381,0.1852,-0.0350,0.192
0.235556,-0.0369,0.1988,-0.0908,0.222
0.244324,-0.0219,0.1715,-0.0522,0.181
0.256430,-0.0203,0.1851,-0.0543,0.194
0.263699,-0.0051,0.1987,0.0801,0.214
0.275340,0.0372,0.1714,0.0786,0.192
0.284755,0.0519,0.1714,0.0773,0.195
0.293425,0.0256,0.1850,0.0899,0.207
0.307328,0.0128,0.1986,0.0617,0.208
0.314088,-0.0002,0.1986,-0.0886,0.217
0.324557,-0.0132,0.1849,-0.0884,0.205
0.333703,0.0145,0.1985,-0.1013,0.223
0.343988,0.0283,0.1577,-0.0999,0.189
0.354694,0.0145,0.1440,-0.0440,0.151
0.363634,0.0004,0.1713,0.0115,0.172
0.374644,-0.0273,0.1713,0.0529,0.181
0.385054,0.0130,0.1713,0.0261,0.174
0.394682,0.0125,0.2122,0.0674,0.223
0.407446,0.0121,0.1713,0.0813,0.190
0.413551,0.0391,0.1577,-0.0000,0.162
0.424266,0.0115,0.1441,0.0141,0.145
0.434596,0.0385,0.1713,-0.0536,0.184
0.443882,0.0383,0.1714,-0.0395,0.180
0.456087,0.0515,0.1577,-0.0527,0.174
0.463653,0.0374,0.1578,-0.0252,0.164
0.476090,0.0096,0.1850,-0.0522,0.192
0.485220,0.0359,0.2123,0.0160,0.216
0.494751,0.0480,0.1987,-0.0247,0.206
0.506906,0.0326,0.2124,0.0163,0.215
0.513413,0.0305,0.1988,0.0709,0.213
0.524890,0.0285,0.1717,0.0302,0.177
0.533545,0.0265,0.1581,0.0439,0.166
0.544088,-0.0025,0.1582,-0.0375,0.163
0.554276,0.0095,0.1718,-0.0098,0.172
0.563833,0.0353,0.2127,-0.0366,0.219
0.574071,0.0611,0.2128,0.0589,0.229
0.583620,0.0598,0.1719,0.0587,0.191
0.593215,0.0039,0.1720,0.0449,0.178
0.607242,-0.0245,0.1857,0.0172,0.188
0.613317,-0.0664,0.1857,0.0844,0.215
0.623528,-0.0673,0.1721,0.0826,0.202
0.634295,-0.0408,0.1585,0.0801,0.182
0.643460,-0.0412,0.1450,0.0500,0.159
0.653974,-0.0002,0.1586,0.0472,0.165
0.664050,0.0275,0.1995,-0.0507,0.208
0.675210,0.0554,0.2131,0.0013,0.220
0.684274,0.0424,0.2267,0.0394,0.234
0.694659,0.0294,0.1995,0.0638,0.211
0.706664,0.0166,0.1722,-0.0204,0.174
0.715021,-0.0775,0.1449,0.0318,0.167
0.730067,-0.0352,0.1585,0.0568,0.172
0.734846,0.0340,0.1585,0.0817,0.182
0.744557,0.0618,0.1449,0.0794,0.176
0.754844,0.0623,0.1585,0.0771,0.187
0.765614,0.0082,0.2266,-0.0339,0.229
0.775520,-0.0055,0.2130,-0.1173,0.243
0.787003,0.0349,0.2130,-0.1732,0.277
0.806281,0.0599,0.2131,-0.1067,0.246
0.813627,0.0313,0.1723,0.0437,0.180
0.824701,0.0029,0.1723,0.0990,0.199
0.834749,0.0287,0.1451,0.1132,0.186
0.844809,0.0133,0.1451,0.0590,0.157
0.856680,-0.0020,0.1452,0.0457,0.152
0.864128,-0.0305,0.1725,-0.0083,0.175
0.875207,-0.0452,0.1589,-0.0074,0.165
0.884052,-0.0188,0.2134,-0.0743,0.227
0.895503,0.0349,0.1862,-0.0052,0.189
0.908009,0.0343,0.1862,0.0502,0.196
0.916224,0.0337,0.1862,0.0509,0.196
0.924159,-0.0211,0.1862,0.0102,0.188
0.934546,-0.0209,0.1862,0.0505,0.194
0.943513,-0.0341,0.1862,0.0491,0.196
0.954484,-0.0198,0.1862,-0.0341,0.190
0.963560,0.0084,0.1725,0.0193,0.174
0.974326,0.0364,0.1589,0.0455,0.169
0.984528,0.0643,0.1725,0.0173,0.185
0.993941,0.0238,0.1725,0.0163,0.175
1.007064,-0.0303,0.1861,-0.0664,0.200
1.013523,-0.0573,0.2133,-0.0264,0.222
1.024831,-0.0297,0.2133,0.0137,0.216
1.035641,-0.0022,0.1861,0.0266,0.188
1.043780,0.0118,0.1725,0.0395,0.177
1.056474,0.0529,0.1725,0.0389,0.185
1.065043,0.0394,0.1861,0.0384,0.194
1.074359,-0.0014,0.1997,0.0106,0.200
1.084640,-0.0558,0.2133,0.0372,0.224
1.093412,-0.0829,0.1725,0.0365,0.195
1.107659,-0.0689,0.1861,0.0356,0.202
1.113572,-0.0274,0.1452,0.0752,0.166
1.125036,-0.0267,0.1452,0.1005,0.179
1.135191,-0.0257,0.1588,0.1113,0.196
1.144516,-0.0379,0.1724,0.1212,0.214
1.154459,-0.0225,0.1723,0.0488,0.181
1.164141,-0.0204,0.1723,-0.0232,0.175
1.174460,-0.0044,0.1858,-0.0675,0.198
1.184901,0.0118,0.1721,-0.0703,0.186
1.194079,-0.0128,0.1720,-0.0455,0.178
1.206650,0.0439,0.1583,-0.0339,0.168
1.214988,0.0591,0.1583,-0.0084,0.169
1.225175,0.0604,0.1719,-0.0097,0.182
1.235310,0.0343,0.1991,-0.0239,0.203
1.244386,0.0214,0.1718,-0.0779,0.190
1.256630,-0.0058,0.1990,-0.1168,0.231
1.265624,0.0209,0.1718,-0.0590,0.183
1.274857,-0.0074,0.1718,-0.0142,0.173
1.284579,0.0050,0.1719,0.0167,0.173
1.293925,0.0037,0.1855,-0.0073,0.186
1.306804,-0.0110,0.1856,-0.0725,0.200
1.314473,-0.0392,0.1720,-0.1106,0.208
1.324256,-0.0535,0.1720,-0.1211,0.217
1.335383,-0.0812,0.1856,-0.1176,0.234
1.344056,-0.0269,0.2265,0.0086,0.228
1.355948,0.0008,0.2401,0.0529,0.246
1.364067,0.0427,0.1719,0.0967,0.202
1.374682,0.0033,0.1582,0.0854,0.180
1.385559,-0.0358,0.1718,0.0465,0.182
1.393912,-0.0745,0.1717,-0.0745,0.201
1.406495,-0.0448,0.1716,-0.0051,0.177
1.413952,-0.0286,0.1715,0.0096,0.174
1.425552,0.0419,0.1442,0.0508,0.159
1.435039,0.0438,0.1578,0.0366,0.168
1.444317,0.0589,0.1441,0.0620,0.168
1.455225,0.0600,0.1849,0.0455,0.200
1.465310,0.0065,0.1985,-0.0390,0.202
1.476126,0.0071,0.2122,-0.0955,0.233
1.485334,-0.0334,0.2121,-0.1240,0.248
1.494364,0.0348,0.1849,-0.0975,0.212
1.507542,0.0617,0.1849,-0.0842,0.212
1.515710,0.0201,0.1986,0.0117,0.200
1.526195,0.0189,0.1714,0.0265,0.174
1.535782,-0.0234,0.1850,0.0416,0.191
1.546969,-0.0383,0.1578,0.0431,0.168
1.556732,-0.0120,0.1715,0.0309,0.175
1.565510,-0.0265,0.1579,0.0459,0.167
1.576332,0.0137,0.1034,0.0472,0.114
1.588164,0.0406,0.1443,0.0345,0.154
1.596018,0.0540,0.1851,-0.0192,0.194
1.614493,0.0802,0.2260,-0.0998,0.260
1.625718,0.0522,0.2533,-0.1131,0.282
1.635610,0.0516,0.2124,-0.1398,0.259
1.644439,0.0236,0.1852,-0.1526,0.241
1.656494,-0.0181,0.1716,-0.1110,0.205
1.664472,-0.0464,0.1717,-0.0145,0.178
