time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004479,-0.1109,0.3643,-0.0184,0.381
0.015970,-0.0019,0.2009,0.0759,0.215
0.025229,0.0255,0.1874,0.0615,0.199
0.042188,-0.0424,0.1465,0.0067,0.153
0.045323,0.0265,0.1327,-0.0463,0.143
0.054472,-0.0956,0.1190,-0.0588,0.164
0.064767,0.0273,0.2278,-0.0711,0.240
0.076357,0.0414,0.1732,-0.0286,0.180
0.094416,0.1115,0.1317,-0.0773,0.189
0.102940,0.1532,0.1586,-0.0466,0.225
0.113373,0.2083,0.1174,0.0109,0.239
0.123238,0.1804,0.1582,0.0271,0.241
0.133007,0.1510,0.1173,0.0839,0.209
0.144476,0.0795,0.1583,0.1539,0.235
0.152835,0.0066,0.1585,0.2099,0.263
0.162667,-0.0800,0.1452,0.2383,0.290
0.173056,-0.1121,0.0911,0.2516,0.290
0.182597,-0.1433,0.0780,0.1943,0.254
0.194317,-0.1055,0.1331,0.0805,0.188
0.203778,-0.0670,0.1610,-0.0482,0.181
0.213520,-0.0963,0.2025,-0.1089,0.249
0.223419,-0.1109,0.2030,-0.1282,0.264
0.235096,-0.1909,0.1896,-0.1193,0.294
0.246404,-0.1993,0.1623,-0.0823,0.270
0.254782,-0.1906,0.1482,-0.0717,0.252
0.267273,-0.1524,0.1748,-0.0605,0.240
0.275573,-0.0591,0.2558,-0.0896,0.277
0.283548,-0.0483,0.2822,-0.1440,0.320
0.294295,0.0022,0.3356,-0.1272,0.359
0.303739,0.1870,0.3618,-0.1208,0.425
0.313414,0.1117,0.2380,-0.0850,0.276
0.323034,0.0355,0.1415,-0.0484,0.154
0.332630,-0.0276,0.1131,0.0419,0.124
0.345390,-0.0641,0.0986,0.0899,0.148
0.353309,-0.0878,0.0978,0.2046,0.243
0.362643,-0.3160,0.1789,0.2913,0.465
0.373088,-0.4620,0.2872,0.2402,0.595
0.382639,-0.4441,0.4775,0.1049,0.661
0.393811,-0.3039,0.5317,-0.0596,0.615
0.403394,-0.1901,0.4089,-0.2518,0.516
0.413259,-0.1013,0.3811,-0.3478,0.526
0.423016,0.1808,0.2575,-0.4830,0.576
0.432560,0.0020,0.1610,-0.3448,0.381
0.442891,-0.1207,0.1188,-0.0160,0.170
0.452642,-0.2554,0.1990,0.3129,0.450
0.462958,-0.4422,0.2108,0.5325,0.724
0.473714,-0.4903,0.2089,0.5063,0.735
0.482494,-0.4828,0.1659,0.1937,0.546
0.495830,-0.4619,0.2864,-0.2005,0.579
0.502541,-0.3468,0.2979,-0.3621,0.583
0.512851,-0.2058,0.3366,-0.2911,0.490
0.522611,-0.0526,0.3209,-0.0289,0.326
0.534523,-0.0365,0.2372,0.1918,0.307
0.544988,-0.1016,0.1536,0.3432,0.389
0.553048,-0.3020,0.1108,0.4527,0.555
0.566638,-0.5144,0.1495,0.5209,0.747
0.573324,-0.6705,0.2154,0.4100,0.815
0.582734,-0.5389,0.2541,0.4582,0.752
0.593224,-0.1349,0.1842,0.4612,0.515
0.602733,0.3618,0.0059,0.2161,0.421
0.613288,0.7728,-0.0767,-0.0979,0.783
0.623059,0.9360,-0.0363,-0.3298,0.993
0.633207,0.7961,0.0724,-0.3430,0.870
0.643679,0.4862,0.2227,-0.2049,0.573
0.653406,0.2504,0.4011,-0.0515,0.476
0.663112,0.1716,0.4711,0.0628,0.505
0.672901,0.2104,0.4599,0.1239,0.521
0.685755,0.2715,0.3266,0.0776,0.432
0.694224,0.2865,0.1937,-0.0209,0.346
0.703062,0.2024,0.1563,-0.0753,0.267
0.712652,-0.0583,0.1866,-0.0168,0.196
0.722700,-0.4636,0.2432,0.1801,0.554
0.732844,-0.4681,0.2039,0.2945,0.589
0.743440,-0.7409,0.1099,0.5280,0.916
0.753709,-0.6968,0.0703,0.4582,0.837
0.762650,-0.7791,0.0571,0.4536,0.903
0.773506,-0.8062,0.1105,0.4206,0.916
0.784052,-0.7514,0.2306,0.4015,0.883
0.794899,-0.7141,0.3905,0.4069,0.910
0.803840,-0.6709,0.4954,0.3528,0.906
0.813469,-0.6102,0.5182,0.2668,0.844
0.824476,-0.4791,0.4590,0.1777,0.687
0.833491,-0.3750,0.4813,0.2362,0.654
0.844749,-0.2736,0.4901,0.5375,0.777
0.855275,-0.2297,0.6083,0.8358,1.059
0.863458,-0.2167,0.6860,0.9545,1.195
0.874524,-0.0980,0.7912,0.9345,1.228
0.884030,0.1129,0.8287,0.8445,1.189
0.895806,0.4025,0.8393,0.8751,1.278
0.905993,0.5676,0.8228,1.0389,1.442
0.916113,0.6860,0.6982,1.3339,1.654
0.923920,0.7946,0.4662,1.7437,1.972
0.934086,0.9583,0.1546,2.0884,2.303
0.953503,0.9961,-0.2718,1.9108,2.172
0.963413,0.9701,-0.5924,1.2983,1.726
0.973274,0.8685,-0.9129,0.5503,1.375
0.982601,0.8021,-1.1246,0.0547,1.382
0.993191,0.7724,-1.2003,-0.1579,1.436
1.004322,0.8210,-1.1535,-0.2236,1.433
1.012716,0.9499,-0.9571,-0.2113,1.365
1.023546,1.1594,-0.7472,-0.2036,1.394
1.033413,1.5980,-0.5372,-0.2287,1.701
1.044924,1.2310,-0.2864,-0.3428,1.310
1.053890,1.0547,-0.1447,-0.4346,1.150
1.062600,0.8804,-0.0982,-0.4723,1.004
1.073555,0.6003,0.0847,-0.4941,0.782
1.082655,0.2974,0.3222,-0.4868,0.655
1.094481,-0.0821,0.6275,-0.4150,0.757
1.103751,-0.2657,0.8505,-0.2452,0.924
1.112661,-0.2254,0.8684,-0.0373,0.898
1.124148,-0.1253,0.6130,0.2607,0.678
1.132718,-0.0475,0.3023,0.6612,0.729
1.145545,-0.0883,0.0048,0.9466,0.951
1.154649,-0.3151,-0.1707,1.0652,1.124
1.163903,-0.6954,-0.1837,1.1335,1.342
1.174669,-1.0045,-0.1845,1.0371,1.455
1.183399,-1.1494,-0.1048,0.6716,1.335
1.194487,-1.1325,-0.0124,0.1782,1.146
1.203787,-1.0496,0.0925,-0.2632,1.086
1.215776,-0.8909,0.2375,-0.4996,1.049
1.224827,-0.7156,0.3140,-0.5020,0.929
1.233334,-0.5136,0.3495,-0.4191,0.749
1.245094,-0.4084,0.3850,-0.4004,0.689
1.254207,-0.3181,0.3660,-0.4870,0.687
1.264342,-0.2020,0.4152,-0.5297,0.703
1.274846,-0.0069,0.4240,-0.5647,0.706
1.283836,0.1835,0.3659,-0.4913,0.639
