time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003245,-0.0892,0.1682,0.0053,0.190
0.005757,-0.0603,0.1410,0.0604,0.165
0.019408,0.0093,0.1683,0.0744,0.184
0.023162,-0.0165,0.1684,0.0746,0.185
0.036499,-0.0425,0.1685,-0.1024,0.202
0.042926,-0.0549,0.1958,-0.1295,0.241
0.053521,-0.0132,0.2231,-0.0885,0.240
0.061641,0.0282,0.2367,0.0207,0.239
0.072522,0.0559,0.1959,0.1027,0.228
0.081736,0.0018,0.1141,0.1030,0.154
0.093144,-0.0115,0.0733,0.0761,0.106
0.101681,-0.0657,0.0733,0.1171,0.153
0.112980,-0.0790,0.1006,0.1032,0.164
0.122493,-0.0651,0.1143,0.0621,0.145
0.132526,0.0033,0.1416,0.0073,0.142
0.148814,0.0444,0.1552,-0.0066,0.162
0.152542,0.0446,0.1825,-0.0342,0.191
0.161946,-0.0096,0.2099,0.0194,0.211
0.175413,-0.0504,0.1966,0.0584,0.211
0.186674,-0.1183,0.1833,0.0830,0.233
0.195207,-0.1318,0.1564,0.0802,0.220
0.201727,-0.1449,0.1295,0.0369,0.198
0.212487,-0.1031,0.1163,0.0347,0.159
0.221519,-0.1556,0.1031,0.0466,0.192
0.231591,-0.1929,0.1172,0.0589,0.233
0.247139,-0.2420,0.1722,0.0577,0.303
0.251528,-0.1937,0.1866,0.0839,0.282
0.262988,-0.1576,0.2011,0.0693,0.265
0.271285,-0.1206,0.2156,0.0684,0.256
0.281562,-0.0699,0.1348,0.0400,0.157
0.293623,-0.1145,0.0677,0.0249,0.135
0.303222,-0.1457,0.0822,0.0232,0.169
0.313900,-0.1498,0.1241,0.0623,0.204
0.322685,-0.1541,0.2067,0.0739,0.268
0.332228,-0.1855,0.2350,0.0310,0.301
0.348807,-0.1894,0.2359,-0.0118,0.303
0.352093,-0.2339,0.2096,-0.0540,0.319
0.369388,-0.2103,0.2649,-0.0414,0.341
0.373035,-0.1462,0.2248,-0.0014,0.268
0.382802,-0.1639,0.2392,0.0661,0.297
0.391823,-0.2220,0.2127,0.0794,0.318
0.402634,-0.2518,0.1862,0.1337,0.340
0.413527,-0.2804,0.1189,0.1606,0.344
0.422294,-0.3350,0.0926,0.1873,0.395
0.432015,-0.3203,0.1481,0.2685,0.443
0.441965,-0.2776,0.1628,0.2403,0.402
0.451777,-0.2886,0.2049,0.1835,0.399
0.463636,-0.3262,0.2201,0.1112,0.409
0.475802,-0.3224,0.1674,0.1184,0.382
0.488138,-0.3319,0.1694,0.1103,0.389
0.494177,-0.3676,0.1715,0.1419,0.430
0.502394,-0.3885,0.1602,0.1999,0.465
0.514138,-0.3674,0.1625,0.2029,0.450
0.524025,-0.3997,0.1784,0.1515,0.463
0.545726,-0.6613,0.2352,0.1549,0.719
0.546529,-0.3228,0.1693,0.1453,0.392
0.555829,-0.2434,0.1168,0.1501,0.309
0.563116,-0.2734,0.0233,0.1283,0.303
0.573763,-0.3035,0.0522,0.1208,0.331
0.583135,-0.2932,0.0811,0.0865,0.316
0.594152,-0.3104,0.1778,-0.0426,0.360
0.603770,-0.2464,0.2744,-0.1710,0.407
0.623012,-0.1367,0.3581,-0.2206,0.442
0.632624,-0.0371,0.3723,-0.2219,0.435
0.642417,0.0058,0.3587,-0.1658,0.395
0.657876,-0.0219,0.3993,-0.0797,0.408
0.663792,0.0167,0.4260,-0.0052,0.426
0.673627,0.1086,0.4798,0.0570,0.495
0.683413,0.3480,0.5062,0.1059,0.623
0.693348,0.4745,0.5325,0.1412,0.727
0.705070,0.6086,0.4499,0.1625,0.774
0.714087,0.6941,0.4217,0.1694,0.830
0.723694,0.7171,0.4207,0.3114,0.888
0.738185,0.7466,0.4742,0.4667,1.000
0.742274,0.7565,0.4868,0.6740,1.124
0.755110,0.7614,0.4182,0.9163,1.263
0.762637,0.7894,0.2823,0.9588,1.274
0.771792,0.8270,0.0383,0.8686,1.200
0.781518,0.8200,-0.2595,0.8237,1.191
0.794834,0.7014,-0.5297,0.9346,1.283
0.801983,0.4606,-0.7451,1.0389,1.359
0.812557,0.1684,-0.8106,0.8120,1.160
0.822789,-0.0369,-0.7263,0.4339,0.847
0.837188,-0.1409,-0.5196,0.0845,0.545
0.842111,-0.1166,-0.2588,-0.1255,0.310
0.852701,-0.0470,0.0562,-0.2491,0.260
0.862359,0.0528,0.3299,-0.4087,0.528
0.872178,0.2374,0.5080,-0.7144,0.908
0.881457,0.4112,0.5903,-0.9582,1.198
0.895065,0.5463,0.6174,-0.9717,1.274
0.901853,0.5878,0.6027,-0.7792,1.147
0.911530,0.5623,0.6142,-0.5445,0.995
0.921372,0.4966,0.6385,-0.3116,0.867
0.931664,0.4986,0.6486,-0.0717,0.821
0.949841,0.5650,0.6852,0.0346,0.889
0.955585,0.6684,0.6396,0.0859,0.929
0.963532,0.7417,0.4985,0.1078,0.900
0.971892,0.8637,0.3570,0.1265,0.943
0.981598,0.9226,0.2284,0.2095,0.973
0.994840,0.8367,0.1128,0.2480,0.880
1.002782,0.5279,0.0649,0.2963,0.609
1.012111,0.1923,0.0855,0.3372,0.398
1.022969,-0.0846,0.1891,0.4088,0.458
1.033637,-0.2877,0.2807,0.4693,0.618
1.047989,-0.6203,0.2375,0.3714,0.761
1.052999,-1.0283,0.2635,0.2690,1.095
1.062451,-1.0107,0.3036,0.3147,1.101
1.073060,-0.7943,0.2630,0.3870,0.922
1.082321,-0.6868,0.2241,0.3505,0.803
1.093317,-0.5640,0.1869,0.3146,0.672
1.104112,-0.2516,0.2057,0.3341,0.466
1.112614,-0.3516,0.0755,0.3954,0.534
1.123040,-0.2288,0.0683,0.2670,0.358
1.131656,-0.2819,-0.0208,0.3028,0.414
1.142069,-0.2140,-0.0831,0.2980,0.376
1.152539,-0.1222,-0.1322,0.4021,0.441
1.162910,-0.1574,-0.2501,0.5324,0.609
1.173333,-0.2248,-0.3548,0.6330,0.760
1.182170,-0.3233,-0.5687,0.4455,0.791
1.195252,-0.2609,-0.6196,0.3387,0.753
1.201750,-0.0778,-0.6298,0.2997,0.702
1.212733,0.1431,-0.6676,0.3152,0.752
1.222491,0.2648,-0.7876,0.2496,0.868
1.233092,0.3008,-0.9762,0.1579,1.034
1.242128,0.2928,-1.1652,0.1762,1.214
1.253248,0.3228,-1.3001,0.2091,1.356
1.262840,0.4863,-1.4897,0.2701,1.590
