time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001364,0.0813,0.3149,0.0250,0.326
0.007665,0.1499,0.2195,0.0384,0.269
0.018290,0.1500,0.1242,0.0110,0.195
0.029313,0.0951,0.0561,-0.0300,0.114
0.038224,-0.0143,0.0834,-0.0571,0.102
0.047671,-0.0557,0.1242,-0.0024,0.136
0.060280,-0.0833,0.1514,0.0389,0.177
0.068193,-0.0834,0.2058,0.0123,0.222
0.078106,-0.0424,0.1784,-0.0273,0.185
0.090757,0.0122,0.1646,-0.0394,0.170
0.098178,0.0667,0.1779,-0.0376,0.194
0.108410,0.0803,0.1641,-0.0221,0.184
0.119510,0.0664,0.1911,-0.0473,0.208
0.137099,0.0246,0.1631,-0.0691,0.179
0.147153,-0.0030,0.1763,-0.0792,0.193
0.160348,-0.0303,0.2031,-0.0076,0.205
0.166620,-0.0440,0.1890,0.0637,0.204
0.176617,-0.0576,0.1614,0.0939,0.195
0.187561,-0.0713,0.1202,0.1099,0.178
0.197477,-0.0440,0.1199,0.0983,0.161
0.207209,-0.0168,0.1333,0.0456,0.142
0.216972,0.0513,0.1604,0.0332,0.172
0.226591,0.0514,0.1604,-0.0072,0.169
0.237401,0.0243,0.1876,-0.0072,0.189
0.248078,0.0109,0.1604,0.0060,0.161
0.257063,-0.0023,0.1606,0.0185,0.162
0.267001,0.0119,0.1471,0.0032,0.148
0.276444,0.0124,0.1337,-0.0390,0.140
0.286981,0.0264,0.1338,-0.0943,0.166
0.296475,0.0536,0.1338,-0.0808,0.165
0.309888,0.0534,0.1475,-0.0672,0.171
0.317451,0.0259,0.1474,-0.0667,0.164
0.326388,-0.0019,0.1744,-0.0514,0.182
0.337075,-0.0570,0.2012,-0.0209,0.210
0.348346,-0.0713,0.2551,-0.0572,0.271
0.359582,-0.0852,0.2272,-0.0521,0.248
0.367743,-0.0854,0.2129,-0.0468,0.234
0.377074,-0.1128,0.2121,-0.0413,0.244
0.386590,-0.1669,0.1841,-0.0358,0.251
0.396432,-0.1924,0.1834,-0.0440,0.269
0.406745,-0.2022,0.2236,-0.0117,0.302
0.416424,-0.2229,0.1957,-0.0207,0.297
